Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales
Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,9.54,3.44,3.84,17.28
Grand Theft Auto V,X360,2013.0,Action,Take-Two Interactive,9.63,5.31,0.06,16.38
Grand Theft Auto: Vice City,PS2,2002.0,Action,Take-Two Interactive,8.41,5.49,0.47,16.15
Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,6.06,3.9,5.38,15.85
Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,15.32
Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,15.3
Gran Turismo 3: A-Spec,PS2,2001.0,Racing,Sony Computer Entertainment,6.85,5.09,1.87,14.98
Call of Duty: Modern Warfare 3,X360,2011.0,Shooter,Activision,9.03,4.28,0.13,14.76
Pokémon Yellow: Special Pikachu Edition,GB,1998.0,Role-Playing,Nintendo,5.89,5.04,3.12,14.64
Call of Duty: Black Ops,X360,2010.0,Shooter,Activision,9.67,3.73,0.11,14.64
Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,5.17,4.05,4.34,14.35
Call of Duty: Black Ops 3,PS4,2015.0,Shooter,Activision,5.77,5.81,0.35,14.24
Call of Duty: Black Ops II,PS3,2012.0,Shooter,Activision,4.99,5.88,0.65,14.03
Call of Duty: Black Ops II,X360,2012.0,Shooter,Activision,8.25,4.3,0.07,13.73
Call of Duty: Modern Warfare 2,X360,2009.0,Shooter,Activision,8.52,3.63,0.08,13.51
Call of Duty: Modern Warfare 3,PS3,2011.0,Shooter,Activision,5.54,5.82,0.49,13.46
Grand Theft Auto III,PS2,2001.0,Action,Take-Two Interactive,6.99,4.51,0.3,13.1
Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,13.04
Call of Duty: Black Ops,PS3,2010.0,Shooter,Activision,5.98,4.44,0.48,12.73
Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,12.27
Mario Kart 7,3DS,2011.0,Racing,Nintendo,4.74,3.91,2.67,12.21
Halo 3,X360,2007.0,Shooter,Microsoft Game Studios,7.97,2.83,0.13,12.14
Grand Theft Auto V,PS4,2014.0,Action,Take-Two Interactive,3.8,5.81,0.36,11.98
Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,4.4,2.77,3.96,11.9
Super Mario 64,N64,1996.0,Platform,Nintendo,6.91,2.85,1.91,11.89
Gran Turismo 4,PS2,2004.0,Racing,Sony Computer Entertainment,3.01,0.01,1.1,11.66
Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,11.52
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,4.23,3.37,3.08,11.33
Super Mario Land 2: 6 Golden Coins,GB,1992.0,Adventure,Nintendo,6.16,2.04,2.69,11.18
Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,11.02
Gran Turismo,PS,1997.0,Racing,Sony Computer Entertainment,4.02,3.87,2.54,10.95
Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,4.89,2.99,2.13,10.79
Gran Turismo 5,PS3,2010.0,Racing,Sony Computer Entertainment,2.96,4.88,0.81,10.77
Call of Duty: Modern Warfare 2,PS3,2009.0,Shooter,Activision,4.99,3.69,0.38,10.69
Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,10.57
Super Mario All-Stars,SNES,1993.0,Platform,Nintendo,5.99,2.15,2.12,10.55
Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,4.34,2.65,3.15,10.49
Super Mario 64,DS,2004.0,Platform,Nintendo,5.08,3.11,1.25,10.42
Just Dance 3,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,10.26
Call of Duty: Ghosts,X360,2013.0,Shooter,Activision,6.72,2.63,0.04,10.21
Halo: Reach,X360,2010.0,Shooter,Microsoft Game Studios,7.03,1.98,0.08,9.88
Mario Kart 64,N64,1996.0,Racing,Nintendo,5.55,1.94,2.23,9.87
New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,3.66,3.07,2.47,9.82
Halo 4,X360,2012.0,Shooter,Microsoft Game Studios,6.63,2.36,0.04,9.76
Final Fantasy VII,PS,1997.0,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,9.72
Call of Duty: Ghosts,PS3,2013.0,Shooter,Activision,4.09,3.73,0.38,9.59
Just Dance 2,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,9.52
Gran Turismo 2,PS,1999.0,Racing,Sony Computer Entertainment,3.88,3.42,1.69,9.49
Call of Duty 4: Modern Warfare,X360,2007.0,Shooter,Activision,5.91,2.38,0.13,9.32
Donkey Kong Country,SNES,1994.0,Platform,Nintendo,4.36,1.71,3.0,9.3
Minecraft,X360,2013.0,Misc,Microsoft Game Studios,5.58,2.83,0.02,9.2
Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,2.01,2.32,4.36,9.09
Mario Party DS,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,9.02
The Elder Scrolls V: Skyrim,X360,2011.0,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,8.84
Super Mario Kart,SNES,1992.0,Racing,Nintendo,3.54,1.24,3.81,8.76
FIFA 16,PS4,2015.0,Sports,Electronic Arts,1.11,6.06,0.06,8.49
Wii Party,Wii,2010.0,Misc,Nintendo,1.79,3.53,2.49,8.49
Halo 2,XB,2004.0,Shooter,Microsoft Game Studios,6.82,1.53,0.05,8.49
Mario Party 8,Wii,2007.0,Misc,Nintendo,3.81,2.3,1.58,8.42
Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,2.91,1.86,3.14,8.33
FIFA Soccer 13,PS3,2012.0,Action,Electronic Arts,1.06,5.05,0.13,8.24
The Sims 3,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,8.11
GoldenEye 007,N64,1997.0,Shooter,Nintendo,5.8,2.01,0.13,8.09
Mario & Sonic at the Olympic Games,Wii,2007.0,Sports,Sega,2.58,3.9,0.66,8.06
Final Fantasy X,PS2,2001.0,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,8.05
Final Fantasy VIII,PS,1999.0,Role-Playing,SquareSoft,2.28,1.72,3.63,7.86
Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,2.82,1.78,2.69,7.84
Pac-Man,2600,1982.0,Puzzle,Atari,7.28,0.45,0.0,7.81
Grand Theft Auto: Liberty City Stories,PSP,2005.0,Action,Take-Two Interactive,2.9,2.83,0.24,7.72
Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,3.66,2.42,0.98,7.69
Star Wars Battlefront (2015),PS4,2015.0,Shooter,Electronic Arts,2.93,3.29,0.22,7.67
Call of Duty: Advanced Warfare,PS4,2014.0,Shooter,Activision,2.8,3.3,0.14,7.6
The Legend of Zelda: Ocarina of Time,N64,1998.0,Action,Nintendo,4.1,1.89,1.45,7.6
Crash Bandicoot 2: Cortex Strikes Back,PS,1997.0,Platform,Sony Computer Entertainment,3.78,2.17,1.31,7.58
Super Mario Bros. 2,NES,1988.0,Platform,Nintendo,5.39,1.18,0.7,7.46
Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,3.24,1.35,2.42,7.45
Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,7.37
Battlefield 3,X360,2011.0,Shooter,Electronic Arts,4.46,2.13,0.06,7.34
The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,7.31
Call of Duty: Black Ops 3,XOne,2015.0,Shooter,Activision,4.52,2.09,0.01,7.3
Just Dance,Wii,2009.0,Misc,Ubisoft,3.51,3.03,0.0,7.27
Battlefield 3,PS3,2011.0,Shooter,Electronic Arts,2.85,2.93,0.35,7.23
Need for Speed Underground,PS2,2003.0,Racing,Electronic Arts,3.27,2.83,0.08,7.2
Tekken 3,PS,1998.0,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,7.16
Crash Bandicoot 3: Warped,PS,1998.0,Platform,Sony Computer Entertainment,3.68,1.75,1.42,7.13
Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,4.41,1.04,1.39,7.07
Mario Kart 8,WiiU,2014.0,Racing,Nintendo,3.13,2.07,1.27,6.96
Fallout 4,PS4,2015.0,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,6.96
Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,4.12,1.77,0.87,6.95
Just Dance 4,Wii,2012.0,Misc,Ubisoft,4.14,2.21,0.0,6.91
FIFA 14,PS3,2013.0,Sports,Electronic Arts,0.78,4.32,0.07,6.9
Need for Speed Underground 2,PS2,2004.0,Racing,Electronic Arts,2.71,3.02,0.08,6.9
Medal of Honor: Frontline,PS2,2002.0,Shooter,Electronic Arts,2.93,2.75,0.17,6.83
Uncharted 3: Drake's Deception,PS3,2011.0,Action,Sony Computer Entertainment,2.77,2.8,0.19,6.83
Crash Bandicoot,PS,1996.0,Platform,Sony Computer Entertainment,3.23,2.35,0.94,6.82
Zumba Fitness,Wii,2010.0,Sports,505 Games,3.5,2.64,0.0,6.81
Gears of War 2,X360,2008.0,Shooter,Microsoft Game Studios,4.15,1.92,0.06,6.76
Uncharted 2: Among Thieves,PS3,2009.0,Action,Sony Computer Entertainment,3.27,2.25,0.21,6.73
Call of Duty 4: Modern Warfare,PS3,2007.0,Shooter,Activision,3.1,2.3,0.28,6.72
FIFA 12,PS3,2011.0,Sports,Electronic Arts,0.84,4.32,0.11,6.69
Big Brain Academy,DS,2005.0,Misc,Nintendo,1.67,2.78,1.6,6.67
Red Dead Redemption,PS3,2010.0,Action,Take-Two Interactive,2.79,2.61,0.17,6.6
FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.79,4.29,0.05,6.59
Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,3.25,1.84,1.03,6.59
The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,6.56
The Legend of Zelda,NES,1986.0,Action,Nintendo,3.74,0.93,1.69,6.51
Assassin's Creed III,PS3,2012.0,Action,Ubisoft,2.64,2.56,0.16,6.5
Halo: Combat Evolved,XB,2001.0,Shooter,Microsoft Game Studios,4.98,1.3,0.08,6.43
Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,2.57,1.58,2.06,6.41
Kingdom Hearts,PS2,2002.0,Role-Playing,Sony Computer Entertainment,3.64,1.2,1.49,6.4
Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,2.55,1.56,1.29,6.39
Halo 3: ODST,X360,2009.0,Shooter,Microsoft Game Studios,4.34,1.35,0.06,6.36
Red Dead Redemption,X360,2010.0,Action,Take-Two Interactive,3.7,1.97,0.09,6.34
Super Mario Sunshine,GC,2002.0,Platform,Nintendo,4.01,1.26,0.87,6.31
Street Fighter II: The World Warrior,SNES,1992.0,Fighting,Capcom,2.47,0.83,2.87,6.3
World of Warcraft,PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,6.28
Driver,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,6.27
Kinect Sports,X360,2010.0,Sports,Microsoft Game Studios,3.92,1.78,0.03,6.24
Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.62,0.07,6.24
Gears of War,X360,2006.0,Shooter,Microsoft Game Studios,3.54,1.9,0.07,6.11
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,Konami Digital Entertainment,2.45,2.01,0.87,6.05
Sonic the Hedgehog 2,GEN,1992.0,Platform,Sega,4.47,1.2,0.16,6.03
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.74,0.83,6.03
Metal Gear Solid,PS,1998.0,Action,Konami Digital Entertainment,3.18,1.83,0.78,6.03
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.28,0.28,5.99
Final Fantasy XII,PS2,2006.0,Role-Playing,Square Enix,1.88,0.0,2.33,5.95
LittleBigPlanet,PS3,2008.0,Platform,Sony Computer Entertainment,2.8,2.05,0.17,5.92
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.66,0.69,4.35,5.84
LEGO Star Wars: The Complete Saga,Wii,2007.0,Action,LucasArts,3.66,1.63,0.0,5.83
Resident Evil 2,PS,1998.0,Action,Virgin Interactive,1.88,1.47,2.02,5.82
Tekken 2,PS,1996.0,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,5.74
Cooking Mama,DS,2006.0,Simulation,505 Games,3.13,1.94,0.07,5.72
Destiny,PS4,2014.0,Shooter,Activision,2.49,2.05,0.16,5.65
Tetris,NES,1988.0,Puzzle,Nintendo,2.97,0.69,1.81,5.58
Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.95,0.21,5.57
Super Smash Bros.,N64,1999.0,Fighting,Nintendo,2.95,0.6,1.97,5.55
Assassin's Creed,X360,2007.0,Adventure,Ubisoft,3.28,1.65,0.07,5.55
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,5.53
Forza Motorsport 3,X360,2009.0,Racing,Microsoft Game Studios,2.99,1.92,0.1,5.51
Monster Hunter Freedom Unite,PSP,2008.0,Role-Playing,Capcom,0.47,0.57,4.13,5.5
Super Mario Advance,GBA,2001.0,Platform,Nintendo,3.14,1.24,0.91,5.49
Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,2.62,1.64,0.99,5.47
Super Mario World,GBA,2001.0,Platform,Nintendo,3.21,1.11,0.95,5.46
Pokemon Stadium,N64,1999.0,Strategy,Nintendo,3.18,1.24,0.94,5.45
Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.72,1.87,0.0,5.43
Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,Platform,Universal Interactive,2.07,2.29,0.24,5.42
Minecraft,PS3,2014.0,Misc,Sony Computer Entertainment,1.97,2.51,0.0,5.42
Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,1.74,1.24,1.87,5.36
Dr. Mario,GB,1989.0,Puzzle,Nintendo,2.18,0.96,2.0,5.34
Pokemon Pinball,GB,1999.0,Misc,Nintendo,3.02,1.12,1.01,5.31
Assassin's Creed III,X360,2012.0,Action,Ubisoft,3.13,1.71,0.03,5.3
Final Fantasy IX,PS,2000.0,Role-Playing,SquareSoft,1.62,0.77,2.78,5.3
Final Fantasy X-2,PS2,2003.0,Role-Playing,Electronic Arts,1.92,1.08,2.11,5.29
Donkey Kong 64,N64,1999.0,Platform,Nintendo,3.33,0.79,1.09,5.27
Assassin's Creed II,X360,2009.0,Action,Ubisoft,3.1,1.56,0.08,5.27
Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,1.22,2.48,1.03,5.26
Tomb Raider II,PS,1997.0,Action,Eidos Interactive,2.3,2.46,0.2,5.24
Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,Role-Playing,Square Enix,0.65,0.75,3.61,5.21
Diablo III,PC,2012.0,Role-Playing,Activision,2.43,2.15,0.0,5.2
Super Mario Bros. 3,GBA,2003.0,Platform,Nintendo,2.93,1.25,0.83,5.2
New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,2.32,1.3,1.27,5.19
Super Mario Land 3: Wario Land,GB,1994.0,Platform,Nintendo,2.49,0.98,1.57,5.19
FIFA Soccer 13,X360,2012.0,Action,Electronic Arts,1.08,3.48,0.03,5.18
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,1.9,1.83,0.95,5.17
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995.0,Platform,Nintendo,2.1,0.74,2.2,5.15
Tomodachi Life,3DS,2013.0,Simulation,Nintendo,0.96,2.02,1.89,5.15
Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,1.64,2.48,0.44,5.14
Medal of Honor: Rising Sun,PS2,2003.0,Shooter,Electronic Arts,1.98,2.23,0.13,5.13
Kirby's Dream Land,GB,1992.0,Platform,Nintendo,2.71,0.61,1.7,5.13
Fable III,X360,2010.0,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,5.13
Call of Duty: Advanced Warfare,XOne,2014.0,Shooter,Activision,3.21,1.53,0.01,5.13
Microsoft Flight Simulator,PC,1996.0,Simulation,Microsoft Game Studios,3.22,1.69,0.0,5.12
Guitar Hero II,PS2,2006.0,Misc,RedOctane,3.81,0.63,0.0,5.12
Resident Evil 5,PS3,2009.0,Action,Capcom,1.96,1.43,1.08,5.11
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,2.66,2.01,0.0,5.08
Grand Theft Auto: Vice City Stories,PSP,2006.0,Action,Take-Two Interactive,1.7,2.02,0.16,5.08
FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.6,3.29,0.06,5.08
Super Mario Bros.,GB,1999.0,Platform,Nintendo,3.4,1.3,0.15,5.07
Resident Evil,PS,1996.0,Action,Virgin Interactive,2.05,1.16,1.11,5.05
Tony Hawk's Pro Skater,PS,1999.0,Sports,Activision,3.42,1.38,0.02,5.02
Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,Nintendo,2.59,1.06,0.8,5.02
Warzone 2100,PS,1999.0,Strategy,Eidos Interactive,2.79,1.89,0.0,5.01
Spyro the Dragon,PS,1998.0,Platform,Sony Computer Entertainment,3.36,1.36,0.07,5.0
Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,3.06,1.18,0.29,5.0
Guitar Hero III: Legends of Rock,PS2,2007.0,Misc,Activision,3.49,0.01,0.01,4.98
Fallout 3,X360,2008.0,Role-Playing,Bethesda Softworks,3.39,1.03,0.09,4.96
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.0,Role-Playing,Nintendo,1.85,1.2,1.54,4.96
Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,2.31,1.73,0.12,4.94
Madden NFL 06,PS2,2005.0,Sports,Electronic Arts,3.98,0.26,0.01,4.91
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,2.89,1.54,0.0,4.9
Diddy Kong Racing,N64,1997.0,Racing,Nintendo,2.91,0.99,0.89,4.88
Monster Hunter Freedom 3,PSP,2010.0,Role-Playing,Capcom,0.0,0.0,4.87,4.87
Dr. Mario,NES,1990.0,Puzzle,Nintendo,2.62,0.6,1.52,4.85
God of War III,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.36,0.12,4.84
StarCraft II: Wings of Liberty,PC,2010.0,Strategy,Activision,2.56,1.68,0.0,4.83
Assassin's Creed,PS3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,4.83
FIFA 15,PS3,2014.0,Sports,Electronic Arts,0.57,3.14,0.04,4.82
Crash Team Racing,PS,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,4.79
FIFA 17,PS4,2016.0,Sports,Electronic Arts,0.28,3.75,0.06,4.77
Batman: Arkham City,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.31,0.04,4.76
Driver 2,PS,2000.0,Action,Atari,2.36,2.1,0.02,4.73
The Simpsons: Hit & Run,PS2,2003.0,Racing,Vivendi Games,1.73,2.19,0.0,4.7
Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,3.05,1.41,0.02,4.68
Animal Crossing: City Folk,Wii,2008.0,Simulation,Nintendo,1.87,1.12,1.32,4.68
The Lord of the Rings: The Two Towers,PS2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,4.67
Forza Motorsport 4,X360,2011.0,Racing,Microsoft Game Studios,2.08,2.04,0.06,4.64
Tomb Raider,PS,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,4.63
Guitar Hero III: Legends of Rock,Wii,2007.0,Misc,Activision,3.06,1.12,0.0,4.62
The Legend of Zelda: A Link to the Past,SNES,1991.0,Action,Nintendo,2.42,0.91,1.15,4.61
The Legend of Zelda: The Wind Waker,GC,2002.0,Action,Nintendo,2.6,0.99,0.89,4.6
Mario & Sonic at the Olympic Winter Games,Wii,2009.0,Sports,Sega,1.89,1.99,0.22,4.58
Luigi's Mansion: Dark Moon,3DS,2013.0,Action,Nintendo,1.78,1.39,1.1,4.58
Splatoon,WiiU,2015.0,Shooter,Nintendo,1.55,1.15,1.44,4.57
The Last of Us,PS4,2014.0,Action,Sony Computer Entertainment,1.78,1.87,0.07,4.55
Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,3.19,0.92,0.01,4.53
Madden NFL 2005,PS2,2004.0,Sports,Electronic Arts,4.18,0.26,0.01,4.53
Pitfall!,2600,1981.0,Platform,Activision,4.21,0.24,0.0,4.5
Madden NFL 07,PS2,2006.0,Sports,Electronic Arts,3.63,0.24,0.01,4.49
Spider-Man: The Movie,PS2,2002.0,Action,Activision,2.71,1.51,0.03,4.48
Dragon Quest VII: Warriors of Eden,PS,2000.0,Role-Playing,Enix Corporation,0.2,0.14,4.1,4.47
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,1.96,1.69,0.08,4.47
Call of Duty: Advanced Warfare,PS3,2014.0,Shooter,Activision,1.54,1.94,0.19,4.45
God of War,PS2,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,4.45
Nintendo Land,WiiU,2012.0,Misc,Nintendo,2.55,1.11,0.46,4.44
Michael Jackson: The Experience,Wii,2010.0,Misc,Ubisoft,2.67,1.35,0.01,4.42
Tony Hawk's Pro Skater 3,PS2,2001.0,Sports,Activision,2.66,1.29,0.01,4.41
Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,Sports,Konami Digital Entertainment,0.1,2.39,1.05,4.39
The Elder Scrolls IV: Oblivion,X360,2006.0,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,4.39
Zelda II: The Adventure of Link,NES,1987.0,Adventure,Nintendo,2.19,0.5,1.61,4.38
Need for Speed: Most Wanted,PS2,2005.0,Racing,Electronic Arts,2.03,1.79,0.08,4.37
Resistance: Fall of Man,PS3,2006.0,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,4.35
Sonic the Hedgehog,GEN,1991.0,Platform,Sega,3.03,0.91,0.26,4.34
Kingdom Hearts II,PS2,2005.0,Role-Playing,Square Enix,2.2,0.58,1.38,4.33
FIFA 14,X360,2013.0,Sports,Electronic Arts,0.92,2.93,0.01,4.31
Call of Duty: Advanced Warfare,X360,2014.0,Shooter,Activision,2.75,1.18,0.0,4.31
Asteroids,2600,1980.0,Shooter,Atari,4.0,0.26,0.0,4.31
Fable II,X360,2008.0,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,4.31
Halo 5: Guardians,XOne,2015.0,Shooter,Microsoft Game Studios,2.64,1.2,0.03,4.26
Super Mario 3D World,WiiU,2013.0,Platform,Nintendo,2.11,1.11,0.72,4.25
Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,2.23,1.34,0.07,4.25
Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft,1.41,2.02,0.1,4.24
Namco Museum,GBA,2001.0,Misc,Namco Bandai Games,3.0,1.11,0.05,4.24
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,Konami Digital Entertainment,1.46,0.0,0.83,4.23
Daxter,PSP,2006.0,Platform,Sony Computer Entertainment,2.45,1.02,0.0,4.22
Warcraft II: Tides of Darkness,PC,1995.0,Strategy,Activision,1.7,2.27,0.0,4.21
The Legend of Zelda: Ocarina of Time,3DS,2011.0,Action,Nintendo,2.03,1.27,0.62,4.21
FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,0.78,2.55,0.04,4.21
EyeToy Play,PS2,2003.0,Misc,Sony Computer Entertainment,0.88,2.3,0.2,4.2
Uncharted 4: A Thief's End,PS4,2016.0,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,4.2
Gran Turismo 5 Prologue,PS3,2007.0,Racing,Sony Computer Entertainment,1.28,1.83,0.57,4.2
Assassin's Creed: Revelations,X360,2011.0,Action,Ubisoft,2.25,1.47,0.04,4.19
Street Fighter IV,PS3,2009.0,Fighting,Capcom,2.02,1.06,0.58,4.19
FIFA 12,X360,2011.0,Sports,Electronic Arts,0.84,2.79,0.02,4.19
Teenage Mutant Ninja Turtles,NES,1989.0,Action,Palcom,3.38,0.44,0.31,4.17
Excitebike,NES,1984.0,Racing,Nintendo,2.04,0.48,1.57,4.16
Frogger,PS,1997.0,Action,Hasbro Interactive,3.79,0.27,0.0,4.16
Madden NFL 2003,PS2,2002.0,Sports,Electronic Arts,3.36,0.21,0.01,4.14
Watch Dogs,PS4,2014.0,Action,Ubisoft,1.4,1.86,0.11,4.14
Half-Life,PC,1997.0,Shooter,Vivendi Games,4.03,0.0,0.09,4.12
Super Mario World 2: Yoshi's Island,SNES,1995.0,Platform,Nintendo,1.65,0.61,1.76,4.12
FIFA Soccer 07,PS2,2006.0,Sports,Electronic Arts,0.71,2.48,0.03,4.11
The Legend of Zelda: Skyward Sword,Wii,2011.0,Action,Nintendo,2.14,1.2,0.37,4.1
Street Fighter II Turbo,SNES,1992.0,Fighting,Capcom,1.42,0.51,2.1,4.1
Carnival Games,Wii,2007.0,Misc,Take-Two Interactive,2.13,1.5,0.05,4.1
