Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales
NFL 2K2,XB,2002.0,Sports,Sega,0.13,0.04,0.0,0.18
My French Coach,DS,2007.0,Misc,Ubisoft,0.15,0.02,0.0,0.18
Camp Rock: The Final Jam,DS,2010.0,Misc,Disney Interactive Studios,0.14,0.02,0.0,0.18
Castlevania Judgment,Wii,2008.0,Fighting,Konami Digital Entertainment,0.13,0.02,0.01,0.18
Dead or Alive Paradise,PSP,2010.0,Misc,Ubisoft Annecy,0.07,0.02,0.07,0.17
The Suffering: Ties That Bind,PS2,2005.0,Action,Midway Games,0.09,0.07,0.0,0.17
Disney Sing It: Family Hits,PS3,2010.0,Misc,Disney Interactive Studios,0.11,0.04,0.0,0.17
Ashes Cricket 2009,PS3,2009.0,Sports,Codemasters,0.0,0.16,0.0,0.17
EyeToy: Kinetic,PS2,2005.0,Sports,Sony Computer Entertainment,0.09,0.07,0.0,0.17
Petz: Horseshoe Ranch,DS,2009.0,Adventure,Ubisoft,0.16,0.0,0.0,0.17
Army Men: Sarge's Heroes 2,PS2,2001.0,Shooter,Midas Interactive Entertainment,0.09,0.07,0.0,0.17
Stormrise,PS3,2009.0,Strategy,Sega,0.13,0.02,0.0,0.17
Yu-Gi-Oh! Zexal World Duel Carnival,3DS,2013.0,Misc,Konami Digital Entertainment,0.0,0.08,0.08,0.17
Winning Eleven: Pro Evolution Soccer 2007,DS,2006.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.17
Green Lantern: Rise of the Manhunters,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,0.09,0.05,0.0,0.17
Monkey Island: Special Edition Collection,PC,2011.0,Adventure,LucasArts,0.0,0.14,0.0,0.17
Broken Sword: Shadows of the Templars - The Director's Cut,DS,2009.0,Adventure,Ubisoft,0.07,0.09,0.0,0.17
The Wild Thornberrys: Animal Adventures,PS,2000.0,Adventure,Mattel Interactive,0.1,0.07,0.0,0.17
MotoGP 10/11,PS3,2011.0,Racing,Capcom,0.04,0.1,0.0,0.17
Jikkyou Powerful Pro Baseball 2016,PSV,2016.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.17
SEGA Bass Fishing Duel,PS2,2002.0,Sports,Sega,0.09,0.07,0.0,0.17
Hyperdimension Neptunia U: Action Unleashed,PSV,2014.0,Action,Idea Factory International,0.07,0.02,0.06,0.17
Sports Illustrated for Kids: Baseball,GBA,2001.0,Sports,BAM! Entertainment,0.12,0.05,0.0,0.17
Fairytale Fights,PS3,2009.0,Action,Playlogic Game Factory,0.11,0.04,0.0,0.17
Mark Davis Pro Bass Challenge,PS2,2002.0,Sports,Natsume,0.09,0.07,0.0,0.17
Rugrats: Royal Ransom,GC,2002.0,Platform,THQ,0.13,0.03,0.0,0.17
Warriors of Might and Magic,PS2,2001.0,Adventure,3DO,0.09,0.07,0.0,0.17
Open Season,GC,2006.0,Platform,Ubisoft,0.13,0.03,0.0,0.17
The Chronicles of Narnia: Prince Caspian,PS3,2008.0,Action,Disney Interactive Studios,0.14,0.02,0.0,0.17
Back to the Future: The Game,PS4,2015.0,Adventure,Telltale Games,0.1,0.04,0.0,0.17
Project Spark,XOne,2014.0,Misc,Microsoft Game Studios,0.11,0.05,0.0,0.17
Backyard Sports Football: Rookie Rush,DS,2010.0,Sports,Atari,0.16,0.0,0.0,0.17
Street Fighter: The Movie,PS,1995.0,Fighting,Acclaim Entertainment,0.1,0.07,0.0,0.17
Lost in Blue 3,DS,2007.0,Adventure,Konami Digital Entertainment,0.09,0.02,0.06,0.17
World Championship Poker,GBA,2004.0,Misc,Crave Entertainment,0.12,0.05,0.0,0.17
Global Defence Force,PS2,2005.0,Shooter,Essential Games,0.0,0.0,0.17,0.17
Rapala Fishing Frenzy 2009,PS3,2008.0,Sports,Activision,0.16,0.0,0.0,0.17
Major League Baseball 2K6,GC,2006.0,Sports,Take-Two Interactive,0.13,0.03,0.0,0.17
Major League Baseball 2K9,PS3,2009.0,Sports,Spike,0.16,0.0,0.0,0.17
SaGa 2: Hihou Densetsu - Goddess of Destiny,DS,2009.0,Role-Playing,Square Enix,0.0,0.0,0.17,0.17
Smash Court Tennis Pro Tournament,PS2,2002.0,Sports,Sony Computer Entertainment,0.08,0.07,0.0,0.17
The Cursed Crusade,PS3,2011.0,Action,DTP Entertainment,0.07,0.07,0.01,0.17
Super Robot Taisen L,DS,2010.0,Strategy,Namco Bandai Games,0.0,0.0,0.17,0.17
The Grim Adventures of Billy & Mandy,GC,2006.0,Action,Midway Games,0.13,0.03,0.0,0.17
NBA Inside Drive 2004,XB,2003.0,Sports,Microsoft Game Studios,0.13,0.04,0.0,0.17
The King of Fighters '97,PS,1998.0,Fighting,SNK,0.0,0.0,0.16,0.17
Dungeon Siege III,PC,2011.0,Role-Playing,Square Enix,0.08,0.08,0.0,0.17
Cabela's Big Game Hunter: Hunting Party,X360,2011.0,Sports,Activision,0.16,0.0,0.0,0.17
Time Commando,PS,1996.0,Action,Adeline Software,0.1,0.07,0.0,0.17
Professional Fisherman's Tour: Northern Hemisphere,DS,2007.0,Sports,505 Games,0.16,0.0,0.0,0.17
Iron Chef America: Supreme Cuisine,Wii,2008.0,Simulation,Destineer,0.16,0.0,0.0,0.17
Kekkaishi: Karasumori Ayakashi Kidan,DS,2007.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.17
Gretzky NHL 2005,PS2,2004.0,Sports,Sony Computer Entertainment,0.08,0.07,0.0,0.17
FaceBreaker,PS3,2008.0,Fighting,Electronic Arts,0.13,0.03,0.0,0.17
Squeeballs Party,DS,2009.0,Puzzle,Performance Designed Products,0.16,0.0,0.0,0.17
NCAA Football 09 All-Play,Wii,2008.0,Sports,Electronic Arts,0.16,0.0,0.0,0.17
Yakuza Zero: The Place of Oath,PS4,2015.0,Action,Sega,0.0,0.0,0.17,0.17
The Hobbit,GC,2003.0,Platform,Vivendi Games,0.13,0.03,0.0,0.17
The Secret World,PC,2012.0,Role-Playing,Funcom,0.07,0.08,0.0,0.17
NHL 2K9,X360,2008.0,Sports,Take-Two Interactive,0.15,0.01,0.0,0.17
X-Men: The Official Game,X360,2006.0,Action,Activision,0.16,0.01,0.0,0.17
True Crime: New York City,GC,2005.0,Action,Activision,0.13,0.03,0.0,0.17
Metal Arms: Glitch in the System,XB,2003.0,Shooter,Vivendi Games,0.13,0.04,0.0,0.17
PlayStation Move Heroes,PS3,2011.0,Platform,Sony Computer Entertainment,0.08,0.06,0.0,0.17
The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,PSP,2012.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.17
Ice Age: Dawn of the Dinosaurs,PS2,2009.0,Action,Activision,0.08,0.07,0.0,0.17
ESPN Final Round Golf 2002,GBA,2001.0,Sports,Konami Digital Entertainment,0.12,0.05,0.0,0.17
MDK2 Armageddon,PS2,2001.0,Shooter,Virgin Interactive,0.08,0.07,0.0,0.17
Exhibition Volume 02,XB,2003.0,Misc,Microsoft Game Studios,0.13,0.04,0.0,0.17
Watchmen: The End is Nigh - The Complete Experience,PS3,2009.0,Action,Warner Bros. Interactive Entertainment,0.08,0.07,0.0,0.17
Fight Night Round 2,GC,2005.0,Fighting,Electronic Arts,0.13,0.03,0.0,0.17
Sudoku Gridmaster,DS,2006.0,Puzzle,Nintendo,0.13,0.03,0.0,0.17
Disney's Atlantis: The Lost Empire,PS,2001.0,Platform,Sony Computer Entertainment,0.1,0.07,0.0,0.17
Power Pro Kun Pocket,GB,1999.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.17
The King of Fighters '97,SAT,1998.0,Fighting,SNK,0.0,0.0,0.17,0.17
Tamagotchi no Narikiri Challenge,DS,2010.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.17
Goosebumps HorrorLand,Wii,2008.0,Adventure,Scholastic Inc.,0.16,0.0,0.0,0.17
One Piece: Unlimited World Red,PSV,2014.0,Action,Namco Bandai Games,0.06,0.04,0.04,0.17
Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,1999.0,Strategy,Namco Bandai Games,0.0,0.0,0.16,0.17
Sound Novel Evolution 1: Otogirisou Sosei-Hen,PS,1999.0,Adventure,ChunSoft,0.0,0.0,0.16,0.17
Dementium: The Ward,DS,2007.0,Shooter,SouthPeak Games,0.15,0.01,0.0,0.17
Psi-Ops: The Mindgate Conspiracy,XB,2004.0,Shooter,Midway Games,0.13,0.04,0.0,0.17
SWAT: Global Strike Team,XB,2003.0,Shooter,Vivendi Games,0.13,0.04,0.0,0.17
Despicable Me: The Game,PSP,2010.0,Platform,D3Publisher,0.05,0.08,0.0,0.17
MX World Tour Featuring Jamie Little,PS2,2005.0,Racing,Play It,0.08,0.07,0.0,0.17
Goblin Commander: Unleash the Horde,PS2,2003.0,Strategy,Jaleco,0.08,0.07,0.0,0.17
Hello Kitty: Happy Party Pals,GBA,2005.0,Misc,THQ,0.12,0.05,0.0,0.17
Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2009.0,Action,Take-Two Interactive,0.16,0.0,0.0,0.17
Backyard NFL Football '09,PS2,2008.0,Sports,Atari,0.08,0.07,0.0,0.17
World Destruction League: Thunder Tanks,PS2,2000.0,Action,3DO,0.08,0.07,0.0,0.17
Shin Megami Tensei IV: Final,3DS,2016.0,Role-Playing,Deep Silver,0.03,0.0,0.14,0.17
Age of Empires III: Complete Collection,PC,2009.0,Strategy,Microsoft Game Studios,0.01,0.12,0.0,0.17
Finding Nemo: Escape to the Big Blue,DS,2006.0,Action,THQ,0.12,0.04,0.0,0.17
Backyard Baseball '10,PS2,2009.0,Sports,Atari,0.08,0.07,0.0,0.17
Resident Evil Director's Cut: Dual Shock Edition,PS,1997.0,Action,Capcom,0.0,0.0,0.16,0.17
The Lord of the Rings: Aragorn's Quest,PS3,2010.0,Action,Warner Bros. Interactive Entertainment,0.1,0.04,0.0,0.17
Top Spin 2,X360,2006.0,Sports,Take-Two Interactive,0.15,0.01,0.0,0.17
N3 II: Ninety-Nine Nights,X360,2010.0,Action,Microsoft Game Studios,0.06,0.07,0.04,0.17
The King of Fighters '95,PS,1996.0,Fighting,Sony Computer Entertainment,0.0,0.0,0.16,0.17
RoadKill,PS2,2003.0,Action,Midway Games,0.08,0.07,0.0,0.17
Hanjuku Eiyuu Tai 3D,PS2,2003.0,Role-Playing,Square Enix,0.0,0.0,0.17,0.17
.hack//G.U. Vol.3//Redemption,PS2,2007.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.17
Chuck E. Cheese's Party Games,Wii,2010.0,Misc,UFO Interactive,0.16,0.0,0.0,0.17
Super Robot Taisen Compact 2 Dai-1-Bu,WS,2000.0,Strategy,Namco Bandai Games,0.0,0.0,0.17,0.17
Looney Tunes: Back in Action,GC,2003.0,Platform,Warner Bros. Interactive Entertainment,0.13,0.03,0.0,0.17
Tak: The Great Juju Challenge,GBA,2005.0,Platform,THQ,0.12,0.05,0.0,0.17
Macross Ultimate Frontier,PSP,2009.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.17
Cabela's Legendary Adventures,PSP,2008.0,Sports,Activision,0.16,0.0,0.0,0.17
Jillian Michaels Fitness Ultimatum 2011,Wii,2010.0,Sports,D3Publisher,0.16,0.0,0.0,0.17
Pursuit Force: Extreme Justice,PSP,2007.0,Action,Sony Computer Entertainment,0.07,0.07,0.0,0.17
Hunter: The Reckoning Redeemer,XB,2003.0,Action,Interplay,0.13,0.04,0.0,0.17
The Rise of the Argonauts,X360,2008.0,Role-Playing,Codemasters,0.03,0.12,0.0,0.17
NHL 07,PSP,2006.0,Sports,Electronic Arts,0.13,0.02,0.0,0.17
Pro Evolution Soccer 2014,PSP,2013.0,Action,Konami Digital Entertainment,0.0,0.03,0.14,0.17
Tokyo Xtreme Racer,DC,1999.0,Racing,Genki,0.0,0.0,0.17,0.17
Fighter Maker,PS,1998.0,Fighting,Agetec,0.05,0.04,0.07,0.17
Bee Movie Game,X360,2007.0,Action,Activision,0.16,0.0,0.0,0.17
Backyard NFL Football '10,Wii,2009.0,Sports,Atari,0.16,0.0,0.0,0.17
Professor Heinz Wolff's Gravity,Wii,2008.0,Puzzle,Deep Silver,0.04,0.12,0.0,0.17
Thief: Deadly Shadows,XB,2004.0,Action,Eidos Interactive,0.13,0.04,0.0,0.17
Buzz! Brain of the UK,PS3,2009.0,Misc,Sony Computer Entertainment,0.0,0.15,0.0,0.17
NBA 09: The Inside,PSP,2008.0,Sports,Sony Computer Entertainment,0.16,0.0,0.0,0.17
Transformers: Prime,3DS,2012.0,Action,Activision,0.13,0.03,0.0,0.17
Batman Begins,GBA,2005.0,Action,Electronic Arts,0.12,0.05,0.0,0.17
Transformer: Rise of the Dark Spark,X360,2014.0,Action,Activision,0.09,0.07,0.0,0.17
Glover,PS,1999.0,Platform,Atari,0.09,0.06,0.0,0.17
Luxor 3,Wii,2008.0,Puzzle,Mumbo Jumbo,0.16,0.0,0.0,0.17
Bratz Kidz,Wii,2008.0,Misc,Game Factory,0.16,0.0,0.0,0.17
Fairytale Fights,X360,2009.0,Action,Playlogic Game Factory,0.14,0.02,0.0,0.17
MotoGP 09/10,X360,2010.0,Racing,Capcom,0.07,0.09,0.0,0.17
Mahjong Fight Club,PSP,2004.0,Misc,Konami Digital Entertainment,0.0,0.0,0.17,0.17
World Driver Championship,N64,1999.0,Racing,Midway Games,0.14,0.03,0.0,0.17
Bomberman 64: The Second Attack!,N64,1999.0,Adventure,Hudson Soft,0.05,0.01,0.11,0.17
Turok 3: Shadow of Oblivion,N64,2000.0,Shooter,Acclaim Entertainment,0.12,0.05,0.0,0.17
Spawn: Armageddon,XB,2003.0,Action,Electronic Arts,0.13,0.04,0.0,0.17
Zoo Hospital,Wii,2008.0,Simulation,Majesco Entertainment,0.14,0.01,0.0,0.17
Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,GBA,2004.0,Misc,Nintendo,0.12,0.05,0.0,0.17
Time and Eternity,PS3,2012.0,Role-Playing,Nippon Ichi Software,0.06,0.03,0.06,0.17
Major League Baseball 2K9,PS2,2009.0,Sports,Spike,0.08,0.06,0.0,0.17
Gundam Assault Survive,PSP,2010.0,Action,Namco Bandai Games,0.0,0.0,0.17,0.17
Disney TH!NK Fast: The Ultimate Trivia Showdown,PS2,2008.0,Misc,Disney Interactive Studios,0.08,0.06,0.0,0.17
Fate/Stay Night [Réalta Nua],PS2,2007.0,Adventure,Kadokawa Shoten,0.0,0.0,0.17,0.17
Disney's Home on the Range,GBA,2004.0,Action,Disney Interactive Studios,0.12,0.04,0.0,0.17
Sid Meier's Civilization IV,PC,2005.0,Strategy,Take-Two Interactive,0.02,0.12,0.0,0.17
Jikkyou Powerful Pro Yakyuu 2013,PSP,2013.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.17
Space Griffon VF-9,PS,1995.0,Role-Playing,Panther Software,0.02,0.02,0.12,0.17
Family Feud Decades,Wii,2010.0,Misc,Ubisoft,0.16,0.0,0.0,0.17
NBA Live 16,PS4,2015.0,Sports,Electronic Arts,0.1,0.04,0.0,0.17
CSI: Fatal Conspiracy,X360,2010.0,Adventure,Ubisoft,0.11,0.04,0.0,0.17
Solitaire Overload Plus,DS,2010.0,Misc,Telegames,0.16,0.0,0.0,0.17
.hack//G.U. Vol.1//Rebirth,PS2,2006.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.17
Gyakuten Saiban 3,GBA,2004.0,Adventure,Capcom,0.0,0.0,0.16,0.17
Tak: Mojo Mistake,DS,2008.0,Action,THQ,0.16,0.0,0.0,0.17
Gallop Racer 2001,PS2,2001.0,Sports,Tecmo Koei,0.05,0.04,0.06,0.17
Nightmare Creatures II,PS,2000.0,Action,Konami Digital Entertainment,0.09,0.06,0.0,0.17
Marble Saga: Kororinpa,Wii,2009.0,Puzzle,Konami Digital Entertainment,0.1,0.06,0.0,0.17
Fuzion Frenzy 2,X360,2007.0,Misc,Microsoft Game Studios,0.14,0.01,0.0,0.17
Catwoman,PS2,2004.0,Action,Electronic Arts,0.08,0.06,0.0,0.17
Monsters vs. Aliens,X360,2009.0,Action,Activision,0.12,0.03,0.0,0.17
Country Dance: All Stars,X360,2012.0,Action,GameMill Entertainment,0.16,0.0,0.0,0.17
Garfield: Lasagna World Tour,PS2,2007.0,Action,Blast! Entertainment Ltd,0.08,0.06,0.0,0.17
Disney's Planes,Wii,2013.0,Simulation,Disney Interactive Studios,0.08,0.07,0.0,0.17
Bomberman Land,Wii,2007.0,Misc,Rising Star Games,0.11,0.02,0.03,0.17
Bomberman B-Daman,SNES,1996.0,Shooter,Hudson Soft,0.0,0.0,0.17,0.17
Terminator 3: The Redemption,PS2,2004.0,Shooter,Atari,0.08,0.06,0.0,0.17
World Destruction League: Thunder Tanks,PS,2000.0,Action,3DO,0.09,0.06,0.0,0.17
Beat Down: Fists of Vengeance,PS2,2005.0,Action,Capcom,0.04,0.03,0.09,0.17
Reloaded,PS,1996.0,Action,Gremlin Interactive Ltd,0.09,0.06,0.0,0.17
MotoGP 15,PS4,2015.0,Racing,Milestone S.r.l.,0.0,0.12,0.03,0.17
SSX On Tour,GC,2005.0,Sports,Electronic Arts,0.13,0.03,0.0,0.17
Hot Wheels: Beat That!,X360,2007.0,Racing,Activision,0.15,0.0,0.0,0.17
G-Force,X360,2009.0,Action,Disney Interactive Studios,0.11,0.05,0.0,0.17
James Bond 007: Everything or Nothing,GBA,2003.0,Shooter,Electronic Arts,0.12,0.04,0.0,0.17
Naruto Shippuden: Ultimate Ninja 5,PS2,2007.0,Fighting,Namco Bandai Games,0.0,0.0,0.17,0.17
Shrek Extra Large,GC,2002.0,Platform,TDK Mediactive,0.13,0.03,0.0,0.17
Final Fantasy V,PS,1998.0,Role-Playing,SquareSoft,0.0,0.0,0.16,0.17
World Tour Soccer 2006,PS2,2004.0,Sports,Sony Computer Entertainment,0.08,0.06,0.0,0.17
Gunvalkyrie,XB,2002.0,Shooter,Infogrames,0.13,0.04,0.0,0.17
NickToons: Racing,PS,2001.0,Racing,Hasbro Interactive,0.09,0.06,0.0,0.17
VR Golf '97,PS,1996.0,Sports,Gremlin Interactive Ltd,0.09,0.06,0.0,0.17
Michael Jackson: The Experience 3D,3DS,2011.0,Misc,Ubisoft,0.13,0.03,0.0,0.17
State of Emergency,XB,2003.0,Action,Take-Two Interactive,0.13,0.04,0.0,0.17
Digimon Story: Cyber Sleuth,PSV,2015.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.17
Off-World Interceptor Extreme,PS,1995.0,Racing,Crystal Dynamics,0.09,0.06,0.0,0.17
Bakugan Battle Brawlers: Defenders of the Core,Wii,2010.0,Action,Activision,0.15,0.01,0.0,0.17
Disney Golf,PS2,2002.0,Sports,Electronic Arts,0.07,0.06,0.02,0.17
The Naked Brothers Band: The Video Game,PS2,2008.0,Misc,THQ,0.08,0.06,0.0,0.17
Custom Robo Arena,DS,2006.0,Fighting,Nintendo,0.02,0.02,0.12,0.17
Clock Tower II: The Struggle Within,PS,1998.0,Adventure,Human Entertainment,0.02,0.01,0.12,0.17
Batman Beyond: Return of the Joker,PS,2000.0,Action,Ubisoft,0.09,0.06,0.0,0.17
Surf's Up,Wii,2007.0,Sports,Ubisoft,0.15,0.0,0.0,0.17
Jikkyou Powerful Pro Baseball 2016,PS4,2016.0,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.17
Mega Man Network Transmission,GC,2003.0,Platform,Capcom,0.13,0.03,0.0,0.17
I'm A Celebrity: Get Me Out of Here!,Wii,2009.0,Misc,Mindscape,0.0,0.16,0.0,0.17
Pursuit Force,PSP,2005.0,Racing,Sony Computer Entertainment,0.14,0.01,0.0,0.17
Densetsu no Stafi 4,DS,2006.0,Platform,Nintendo,0.0,0.0,0.17,0.17
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (JP sales),PS2,2008.0,Role-Playing,Atlus,0.0,0.0,0.17,0.17
Naval Assault: The Killing Tide,X360,2010.0,Simulation,505 Games,0.08,0.07,0.0,0.17
Tokimeki Memorial: Private Collection,PS,1996.0,Misc,Konami Digital Entertainment,0.0,0.0,0.16,0.17
RC Revenge Pro,PS2,2000.0,Racing,Acclaim Entertainment,0.08,0.06,0.0,0.17
Valkyria Chronicles,PS4,2016.0,Role-Playing,Sega,0.06,0.04,0.05,0.17
Hellboy: The Science of Evil,PS3,2008.0,Action,Konami Digital Entertainment,0.13,0.02,0.0,0.17
Backyard Wrestling: Don't Try This at Home,XB,2003.0,Fighting,Eidos Interactive,0.13,0.04,0.0,0.17
Zoo Keeper,DS,2004.0,Puzzle,Ignition Entertainment,0.1,0.01,0.05,0.17
Gauntlet: Dark Legacy,XB,2002.0,Action,Midway Games,0.13,0.04,0.0,0.17
Toukiden Kiwami,PS4,2015.0,Action,Tecmo Koei,0.05,0.07,0.02,0.17
Far East of Eden II: Manji Maru,PS2,2003.0,Role-Playing,Hudson Soft,0.0,0.0,0.17,0.17
Lost Kingdoms,GC,2002.0,Role-Playing,Activision,0.1,0.02,0.04,0.17
WRC 2: FIA World Rally Championship,PS3,2011.0,Racing,Ubisoft,0.0,0.13,0.0,0.17
Blood Bowl,X360,2009.0,Sports,Focus Home Interactive,0.13,0.03,0.0,0.17
Matchbox Cross Town Heroes,GBA,2002.0,Racing,THQ,0.12,0.04,0.0,0.17
Wolfenstein 3D,GBA,2002.0,Shooter,BAM! Entertainment,0.12,0.04,0.0,0.17
Nobunaga no Yabou: Tenshoki,SNES,1996.0,Strategy,Tecmo Koei,0.0,0.0,0.17,0.17
Learning to Spell,DS,2010.0,Misc,505 Games,0.16,0.0,0.0,0.17
"Go, Diego, Go! Safari Rescue",DS,2007.0,Adventure,Take-Two Interactive,0.15,0.01,0.0,0.17
Super Power League,SNES,1993.0,Sports,Hudson Soft,0.0,0.0,0.17,0.17
Easy Piano,DS,2009.0,Misc,Game Life,0.04,0.11,0.0,0.17
